Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,temp_diff,power,torque_per_wear
1,298.8,309.0,1661,29.5,162,0,No Failure,10.199999999999989,48999.5,0.18098159509202455
0,298.8,309.1,1378,54.4,165,0,No Failure,10.300000000000011,74963.2,0.327710843373494
0,298.8,309.1,1393,52.6,167,0,No Failure,10.300000000000011,73271.8,0.3130952380952381
1,298.8,309.0,1592,38.2,169,0,No Failure,10.199999999999989,60814.4,0.2247058823529412
0,298.8,309.0,1829,22.9,172,0,No Failure,10.199999999999989,41884.1,0.13236994219653178
1,298.9,309.0,1812,25.9,174,0,No Failure,10.100000000000023,46930.799999999996,0.148
0,299.0,309.1,1523,38.6,177,0,No Failure,10.100000000000023,58787.8,0.21685393258426966
0,299.0,309.1,1394,45.1,179,0,No Failure,10.100000000000023,62869.4,0.2505555555555556
1,298.9,308.9,1679,28.7,181,0,No Failure,10.0,48187.299999999996,0.1576923076923077
2,298.8,308.9,1466,44.1,184,0,No Failure,10.099999999999966,64650.6,0.23837837837837839
0,298.8,308.9,1527,32.4,189,0,No Failure,10.099999999999966,49474.799999999996,0.17052631578947366
0,298.9,309.0,1410,65.7,191,1,Power Failure,10.100000000000023,92637.0,0.34218750000000003
1,298.9,309.0,1924,22.6,193,0,No Failure,10.100000000000023,43482.4,0.11649484536082474
0,298.9,309.1,1452,45.5,196,0,No Failure,10.200000000000045,66066.0,0.23096446700507614
0,298.9,309.1,1369,44.4,198,0,No Failure,10.200000000000045,60783.6,0.22311557788944722
0,299.0,309.1,1592,35.0,200,0,No Failure,10.100000000000023,55720.0,0.17412935323383086
0,298.9,309.0,1601,32.3,202,0,No Failure,10.100000000000023,51712.299999999996,0.15911330049261083
0,298.8,308.9,1379,46.7,204,0,No Failure,10.099999999999966,64399.3,0.2278048780487805
0,298.8,308.9,1461,47.9,206,0,No Failure,10.099999999999966,69981.9,0.23140096618357486
0,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,10.099999999999966,60091.49999999999,0.19760765550239234
0,298.8,308.9,1398,51.5,0,0,No Failure,10.099999999999966,71997.0,51.5
0,298.8,308.9,1402,37.9,2,0,No Failure,10.099999999999966,53135.799999999996,12.633333333333333
2,298.8,308.8,1445,49.9,4,0,No Failure,10.0,72105.5,9.98
0,298.9,308.9,1450,47.5,9,0,No Failure,10.0,68875.0,4.75
0,298.9,308.9,1453,40.8,11,0,No Failure,10.0,59282.399999999994,3.4
0,299.0,309.0,1469,40.1,13,0,No Failure,10.0,58906.9,2.8642857142857143
0,298.9,308.9,1422,47.6,15,0,No Failure,10.0,67687.2,2.975
1,299.0,309.0,1804,26.8,17,0,No Failure,10.0,48347.200000000004,1.488888888888889
2,299.0,309.0,1436,43.9,20,0,No Failure,10.0,63040.4,2.0904761904761906
0,299.0,309.0,1544,31.8,25,0,No Failure,10.0,49099.200000000004,1.2230769230769232
1,299.0,309.0,1419,45.2,27,0,No Failure,10.0,64138.8,1.6142857142857143
1,298.9,308.9,1487,39.5,30,0,No Failure,10.0,58736.5,1.2741935483870968
0,298.9,308.9,1753,25.8,33,0,No Failure,10.0,45227.4,0.7588235294117647
0,298.9,308.9,1830,24.9,35,0,No Failure,10.0,45567.0,0.6916666666666667
1,298.9,308.9,1727,27.1,37,0,No Failure,10.0,46801.700000000004,0.7131578947368421
0,299.1,309.0,1450,43.0,40,0,No Failure,9.899999999999977,62350.0,1.048780487804878
0,299.0,308.9,1622,31.9,42,0,No Failure,9.899999999999977,51741.799999999996,0.741860465116279
1,299.0,309.0,1351,52.2,44,0,No Failure,10.0,70522.2,1.1600000000000001
1,299.0,309.0,1575,35.3,47,0,No Failure,10.0,55597.49999999999,0.7354166666666666
1,298.9,308.9,1750,29.9,50,0,No Failure,10.0,52325.0,0.5862745098039216
0,298.9,308.8,1529,32.7,53,0,No Failure,9.900000000000034,49998.3,0.6055555555555556
0,298.8,308.8,1523,44.4,55,0,No Failure,10.0,67621.2,0.7928571428571428
0,298.8,308.9,1852,25.0,57,0,No Failure,10.099999999999966,46300.0,0.43103448275862066
0,298.8,308.8,1991,20.7,59,0,No Failure,10.0,41213.7,0.345
0,298.8,308.8,1555,40.6,61,0,No Failure,10.0,63133.0,0.6548387096774194
1,298.8,308.8,1441,40.5,63,0,No Failure,10.0,58360.5,0.6328125
0,298.8,308.7,1450,43.4,66,0,No Failure,9.899999999999977,62930.0,0.6477611940298508
0,298.8,308.7,1591,31.1,68,0,No Failure,9.899999999999977,49480.100000000006,0.45072463768115945
0,298.8,308.7,1445,48.5,70,0,No Failure,9.899999999999977,70082.5,0.6830985915492958
1,298.8,308.8,1497,46.8,72,0,No Failure,10.0,70059.59999999999,0.6410958904109588
2,298.9,308.8,1621,32.7,75,0,No Failure,9.900000000000034,53006.700000000004,0.4302631578947369
0,298.9,308.7,1572,34.1,80,0,No Failure,9.800000000000011,53605.200000000004,0.42098765432098767
0,298.8,308.6,1872,22.5,82,0,No Failure,9.800000000000011,42120.0,0.2710843373493976
2,298.7,308.6,1499,43.5,84,0,No Failure,9.900000000000034,65206.5,0.5117647058823529
1,298.8,308.7,1498,39.5,89,0,No Failure,9.899999999999977,59171.0,0.4388888888888889
1,298.8,308.6,1486,41.9,92,0,No Failure,9.800000000000011,62263.4,0.4505376344086021
0,298.8,308.6,1680,29.4,95,0,No Failure,9.800000000000011,49392.0,0.30624999999999997
0,298.8,308.6,1431,45.7,97,0,No Failure,9.800000000000011,65396.700000000004,0.46632653061224494
0,298.9,308.7,1564,34.1,99,0,No Failure,9.800000000000011,53332.4,0.341
0,298.8,308.6,1599,33.0,101,0,No Failure,9.800000000000011,52767.0,0.3235294117647059
1,298.8,308.6,1707,28.1,103,0,No Failure,9.800000000000011,47966.700000000004,0.27019230769230773
0,298.7,308.5,1467,40.7,106,0,No Failure,9.800000000000011,59706.9,0.38037383177570094
0,298.9,308.7,1433,44.7,108,0,No Failure,9.800000000000011,64055.100000000006,0.4100917431192661
0,298.9,308.7,1558,41.2,110,0,No Failure,9.800000000000011,64189.600000000006,0.3711711711711712
0,299.0,308.8,1310,50.7,112,0,No Failure,9.800000000000011,66417.0,0.44867256637168146
0,298.9,308.7,1546,43.4,114,0,No Failure,9.800000000000011,67096.4,0.3773913043478261
0,298.9,308.7,1727,29.4,116,0,No Failure,9.800000000000011,50773.799999999996,0.2512820512820513
0,298.9,308.6,1560,32.2,118,0,No Failure,9.700000000000045,50232.00000000001,0.2705882352941177
0,299.0,308.6,1329,60.5,120,0,No Failure,9.600000000000023,80404.5,0.5
0,298.9,308.6,1413,46.5,122,0,No Failure,9.700000000000045,65704.5,0.3780487804878049
0,299.0,308.6,1587,38.6,124,0,No Failure,9.600000000000023,61258.200000000004,0.3088
0,298.9,308.5,1559,34.3,126,0,No Failure,9.600000000000023,53473.7,0.2700787401574803
0,298.8,308.4,1473,41.1,128,0,No Failure,9.599999999999966,60540.3,0.3186046511627907
0,298.8,308.4,1737,27.7,130,0,No Failure,9.599999999999966,48114.9,0.21145038167938932
1,298.7,308.4,1441,43.2,132,0,No Failure,9.699999999999989,62251.200000000004,0.324812030075188
1,298.7,308.4,1430,49.6,135,0,No Failure,9.699999999999989,70928.0,0.3647058823529412
0,298.8,308.4,1369,53.0,138,0,No Failure,9.599999999999966,72557.0,0.381294964028777
1,298.8,308.5,1711,28.5,140,0,No Failure,9.699999999999989,48763.5,0.20212765957446807
2,298.7,308.5,1420,45.7,143,0,No Failure,9.800000000000011,64894.00000000001,0.31736111111111115
0,298.7,308.6,1297,55.3,148,0,No Failure,9.900000000000034,71724.09999999999,0.3711409395973154
2,298.8,308.6,1449,49.4,150,0,No Failure,9.800000000000011,71580.59999999999,0.3271523178807947
0,298.8,308.6,1268,55.8,155,0,No Failure,9.800000000000011,70754.4,0.3576923076923077
0,298.8,308.6,1511,36.1,157,0,No Failure,9.800000000000011,54547.1,0.22848101265822784
0,298.7,308.5,1544,35.2,159,0,No Failure,9.800000000000011,54348.8,0.22000000000000003
1,298.6,308.4,1778,28.2,161,0,No Failure,9.799999999999955,50139.6,0.17407407407407408
2,298.6,308.4,1407,50.5,164,0,No Failure,9.799999999999955,71053.5,0.30606060606060603
1,298.6,308.4,1391,42.4,169,0,No Failure,9.799999999999955,58978.4,0.24941176470588233
0,298.5,308.4,1513,33.6,172,0,No Failure,9.899999999999977,50836.8,0.19421965317919077
2,298.5,308.4,1612,36.1,174,0,No Failure,9.899999999999977,58193.200000000004,0.2062857142857143
0,298.4,308.4,1515,40.1,179,0,No Failure,10.0,60751.5,0.2227777777777778
1,298.3,308.3,1379,48.0,181,0,No Failure,10.0,66192.0,0.26373626373626374
0,298.4,308.3,1473,39.9,184,0,No Failure,9.900000000000034,58772.7,0.21567567567567567
0,298.4,308.3,1422,42.7,186,0,No Failure,9.900000000000034,60719.4,0.22834224598930483
1,298.4,308.2,1463,37.6,188,0,No Failure,9.800000000000011,55008.8,0.19894179894179895
1,298.4,308.2,1584,41.0,191,0,No Failure,9.800000000000011,64944.0,0.21354166666666666
0,298.4,308.2,1850,27.0,194,0,No Failure,9.800000000000011,49950.0,0.13846153846153847
0,298.4,308.2,1528,36.2,196,0,No Failure,9.800000000000011,55313.600000000006,0.18375634517766498
2,298.4,308.2,1987,19.8,198,0,No Failure,9.800000000000011,39342.6,0.09949748743718594
1,298.4,308.1,1495,46.0,203,0,No Failure,9.700000000000045,68770.0,0.22549019607843138
2,298.4,308.2,1478,43.5,206,0,No Failure,9.800000000000011,64293.0,0.21014492753623187
1,298.4,308.2,1499,40.0,211,0,No Failure,9.800000000000011,59960.0,0.18867924528301888
0,298.4,308.2,1471,47.0,214,0,No Failure,9.800000000000011,69137.0,0.2186046511627907
0,298.4,308.2,1282,60.7,216,1,Overstrain Failure,9.800000000000011,77817.40000000001,0.2797235023041475
0,298.3,308.1,1412,52.3,218,1,Overstrain Failure,9.800000000000011,73847.59999999999,0.23881278538812784
0,298.3,308.1,1586,35.5,0,0,No Failure,9.800000000000011,56303.0,35.5
1,298.4,308.2,1468,43.8,2,0,No Failure,9.800000000000011,64298.399999999994,14.6
1,298.5,308.3,1440,43.6,5,0,No Failure,9.800000000000011,62784.0,7.266666666666667
0,298.5,308.4,1733,26.0,8,0,No Failure,9.899999999999977,45058.0,2.888888888888889
2,298.4,308.2,1612,32.6,10,0,No Failure,9.800000000000011,52551.200000000004,2.963636363636364
2,298.4,308.3,1458,42.9,15,0,No Failure,9.900000000000034,62548.2,2.68125
0,298.4,308.3,1433,62.3,20,1,Power Failure,9.900000000000034,89275.9,2.9666666666666663
0,298.4,308.3,1318,59.1,22,0,No Failure,9.900000000000034,77893.8,2.5695652173913044
1,298.4,308.2,1610,35.0,24,0,No Failure,9.800000000000011,56350.0,1.4
0,298.2,308.1,1462,50.8,27,0,No Failure,9.900000000000034,74269.59999999999,1.8142857142857143
1,298.1,308.0,1924,20.8,29,0,No Failure,9.899999999999977,40019.200000000004,0.6933333333333334
1,298.2,308.0,1591,33.7,32,0,No Failure,9.800000000000011,53616.700000000004,1.0212121212121212
0,298.2,308.1,1306,58.3,35,0,No Failure,9.900000000000034,76139.8,1.6194444444444445
0,298.2,308.1,1382,43.5,37,0,No Failure,9.900000000000034,60117.0,1.144736842105263
0,298.2,308.1,1618,34.7,39,0,No Failure,9.900000000000034,56144.600000000006,0.8675
0,298.2,308.2,1988,21.4,41,0,No Failure,10.0,42543.2,0.5095238095238095
0,298.2,308.2,1436,50.2,43,0,No Failure,10.0,72087.2,1.1409090909090909
0,298.2,308.3,1304,49.8,45,0,No Failure,10.100000000000023,64939.2,1.0826086956521739
0,298.2,308.3,1475,49.9,47,0,No Failure,10.100000000000023,73602.5,1.0395833333333333
2,298.2,308.3,1824,24.2,49,0,No Failure,10.100000000000023,44140.799999999996,0.484
1,298.1,308.2,1342,48.1,54,0,No Failure,10.099999999999966,64550.200000000004,0.8745454545454546
0,298.1,308.2,1485,40.7,57,0,No Failure,10.099999999999966,60439.50000000001,0.7017241379310345
0,298.2,308.2,1667,30.6,59,0,No Failure,10.0,51010.200000000004,0.51
0,298.2,308.2,1446,38.2,61,0,No Failure,10.0,55237.200000000004,0.6161290322580646
0,298.1,308.3,1301,56.0,63,0,No Failure,10.199999999999989,72856.0,0.875
0,298.2,308.4,1379,43.1,65,0,No Failure,10.199999999999989,59434.9,0.6530303030303031
0,298.3,308.5,1606,33.6,67,0,No Failure,10.199999999999989,53961.600000000006,0.49411764705882355
1,298.3,308.4,1539,43.4,69,0,No Failure,10.099999999999966,66792.59999999999,0.62
0,298.2,308.4,1477,49.9,72,0,No Failure,10.199999999999989,73702.3,0.6835616438356165
0,298.2,308.4,1666,34.6,74,0,No Failure,10.199999999999989,57643.600000000006,0.4613333333333334
2,298.2,308.4,1398,51.8,76,0,No Failure,10.199999999999989,72416.4,0.6727272727272727
2,298.2,308.4,1678,34.6,81,0,No Failure,10.199999999999989,58058.8,0.42195121951219516
1,298.2,308.5,2678,10.7,86,1,Power Failure,10.300000000000011,28654.6,0.12298850574712643
0,298.3,308.5,1453,42.9,89,0,No Failure,10.199999999999989,62333.7,0.4766666666666666
2,298.3,308.6,1432,49.5,91,0,No Failure,10.300000000000011,70884.0,0.5380434782608695
1,298.4,308.6,1527,40.9,96,0,No Failure,10.200000000000045,62454.299999999996,0.4216494845360825
0,298.4,308.7,1588,35.0,99,0,No Failure,10.300000000000011,55580.0,0.35
0,298.4,308.6,1433,47.1,101,0,No Failure,10.200000000000045,67494.3,0.46176470588235297
0,298.4,308.6,1609,35.0,103,0,No Failure,10.200000000000045,56315.0,0.33653846153846156
0,298.3,308.5,1575,41.2,105,0,No Failure,10.199999999999989,64890.00000000001,0.3886792452830189
1,298.4,308.5,1636,35.7,107,0,No Failure,10.100000000000023,58405.200000000004,0.3305555555555556
0,298.4,308.5,1490,37.9,110,0,No Failure,10.100000000000023,56471.0,0.34144144144144145
0,298.4,308.5,1741,32.8,112,0,No Failure,10.100000000000023,57104.799999999996,0.2902654867256637
1,298.5,308.6,1344,53.0,114,0,No Failure,10.100000000000023,71232.0,0.4608695652173913
0,298.5,308.7,1609,35.3,117,0,No Failure,10.199999999999989,56797.7,0.29915254237288136
1,298.4,308.7,1421,60.7,119,1,Power Failure,10.300000000000011,86254.7,0.5058333333333334
0,298.4,308.6,1591,36.7,122,0,No Failure,10.200000000000045,58389.700000000004,0.2983739837398374
0,298.4,308.6,1477,44.0,124,0,No Failure,10.200000000000045,64988.0,0.352
0,298.4,308.7,1523,36.1,126,0,No Failure,10.300000000000011,54980.3,0.284251968503937
0,298.5,308.7,1575,33.9,128,0,No Failure,10.199999999999989,53392.5,0.2627906976744186
2,298.4,308.7,1344,52.9,130,0,No Failure,10.300000000000011,71097.59999999999,0.40381679389312974
0,298.4,308.7,1386,44.9,135,0,No Failure,10.300000000000011,62231.4,0.3301470588235294
1,298.3,308.6,1589,37.1,137,0,No Failure,10.300000000000011,58951.9,0.2688405797101449
0,298.3,308.6,1548,40.3,140,0,No Failure,10.300000000000011,62384.399999999994,0.2858156028368794
0,298.3,308.6,1499,38.3,142,0,No Failure,10.300000000000011,57411.7,0.2678321678321678
0,298.3,308.5,1664,31.6,144,0,No Failure,10.199999999999989,52582.4,0.21793103448275863
0,298.3,308.6,1447,38.1,146,0,No Failure,10.300000000000011,55130.700000000004,0.25918367346938775
1,298.3,308.5,1434,46.2,148,0,No Failure,10.199999999999989,66250.8,0.31006711409395976
0,298.3,308.5,1416,52.7,151,0,No Failure,10.199999999999989,74623.2,0.34671052631578947
2,298.4,308.5,1827,24.3,153,0,No Failure,10.100000000000023,44396.1,0.1577922077922078
0,298.4,308.6,1304,45.0,158,0,No Failure,10.200000000000045,58680.0,0.2830188679245283
0,298.4,308.6,1569,34.4,160,0,No Failure,10.200000000000045,53973.6,0.21366459627329193
0,298.3,308.6,1584,29.3,162,0,No Failure,10.300000000000011,46411.200000000004,0.17975460122699388
0,298.3,308.5,1362,53.8,164,0,No Failure,10.199999999999989,73275.59999999999,0.32606060606060605
0,298.3,308.4,1329,49.2,166,0,No Failure,10.099999999999966,65386.8,0.2946107784431138
0,298.3,308.5,1539,36.1,168,0,No Failure,10.199999999999989,55557.9,0.21360946745562132
1,298.3,308.5,1629,37.1,170,0,No Failure,10.199999999999989,60435.9,0.21695906432748538
0,298.3,308.5,1538,32.2,173,0,No Failure,10.199999999999989,49523.600000000006,0.18505747126436783
0,298.3,308.6,1570,34.8,175,0,No Failure,10.300000000000011,54635.99999999999,0.19772727272727272
0,298.3,308.4,1408,43.1,177,0,No Failure,10.099999999999966,60684.8,0.24213483146067416
0,298.2,308.4,1424,47.6,179,0,No Failure,10.199999999999989,67782.40000000001,0.2644444444444444
0,298.2,308.4,1512,34.9,181,0,No Failure,10.199999999999989,52768.799999999996,0.19175824175824174
0,298.2,308.4,1478,42.9,183,0,No Failure,10.199999999999989,63406.2,0.23315217391304346
1,298.1,308.3,1680,33.7,185,0,No Failure,10.199999999999989,56616.00000000001,0.18118279569892476
0,298.1,308.3,1495,38.7,188,0,No Failure,10.199999999999989,57856.50000000001,0.20476190476190478
1,298.0,308.1,1552,36.6,190,0,No Failure,10.100000000000023,56803.200000000004,0.19162303664921468
0,297.9,308.1,1393,50.3,193,0,No Failure,10.200000000000045,70067.9,0.2592783505154639
0,298.0,308.2,1611,30.6,195,0,No Failure,10.199999999999989,49296.600000000006,0.15612244897959185
1,298.0,308.1,1339,51.6,197,0,No Failure,10.100000000000023,69092.40000000001,0.2606060606060606
0,298.0,308.1,1777,24.3,200,0,No Failure,10.100000000000023,43181.1,0.1208955223880597
0,298.0,308.2,1348,58.8,202,1,Overstrain Failure,10.199999999999989,79262.4,0.28965517241379307
0,298.0,308.2,1442,44.1,204,0,No Failure,10.199999999999989,63592.200000000004,0.2151219512195122
1,298.0,308.2,1395,49.1,206,0,No Failure,10.199999999999989,68494.5,0.23719806763285026
1,297.9,308.1,1627,31.4,209,0,No Failure,10.200000000000045,51087.799999999996,0.1495238095238095
0,297.9,308.1,1585,33.5,212,0,No Failure,10.200000000000045,53097.5,0.1572769953051643
0,298.0,308.2,1469,45.5,214,0,No Failure,10.199999999999989,66839.5,0.2116279069767442
0,298.0,308.3,1362,56.8,216,1,Overstrain Failure,10.300000000000011,77361.59999999999,0.26175115207373273
0,298.0,308.3,1405,56.2,218,1,Overstrain Failure,10.300000000000011,78961.0,0.25662100456621006
0,298.0,308.3,1662,32.7,0,0,No Failure,10.300000000000011,54347.4,32.7
1,298.0,308.2,1466,42.6,2,0,No Failure,10.199999999999989,62451.6,14.200000000000001
0,298.0,308.2,1620,35.8,5,0,No Failure,10.199999999999989,57995.99999999999,5.966666666666666
0,298.0,308.2,1357,48.2,7,0,No Failure,10.199999999999989,65407.4,6.025
0,298.0,308.2,1514,37.9,9,0,No Failure,10.199999999999989,57380.6,3.79
0,298.0,308.2,1489,40.4,11,0,No Failure,10.199999999999989,60155.6,3.3666666666666667
0,298.1,308.3,1331,63.0,13,0,No Failure,10.199999999999989,83853.0,4.5
0,298.0,308.0,1615,29.5,15,0,No Failure,10.0,47642.5,1.84375
0,298.1,308.2,1482,37.9,17,0,No Failure,10.099999999999966,56167.799999999996,2.1055555555555556
1,298.1,308.2,1420,63.9,19,1,Power Failure,10.099999999999966,90738.0,3.195
1,298.2,308.3,1522,49.1,22,0,No Failure,10.100000000000023,74730.2,2.134782608695652
0,298.1,308.2,1654,32.1,25,0,No Failure,10.099999999999966,53093.4,1.2346153846153847
1,298.1,308.2,1736,26.8,27,0,No Failure,10.099999999999966,46524.8,0.9571428571428572
1,298.0,308.1,1587,32.3,30,0,No Failure,10.100000000000023,51260.1,1.0419354838709676
0,298.1,308.2,1390,47.5,33,0,No Failure,10.099999999999966,66025.0,1.3970588235294117
0,298.0,308.1,1454,37.1,35,0,No Failure,10.100000000000023,53943.4,1.0305555555555557
2,298.0,308.1,1440,43.7,37,0,No Failure,10.100000000000023,62928.00000000001,1.1500000000000001
0,297.9,308.0,1954,21.1,42,0,No Failure,10.100000000000023,41229.4,0.4906976744186047
2,297.9,308.0,1800,24.8,44,0,No Failure,10.100000000000023,44640.0,0.5511111111111111
0,298.0,308.0,1524,37.0,49,0,No Failure,10.0,56388.0,0.74
2,298.0,308.0,1520,39.6,51,0,No Failure,10.0,60192.0,0.7615384615384616
1,298.1,308.1,1452,40.8,56,0,No Failure,10.0,59241.6,0.7157894736842105
0,298.1,308.1,1484,40.4,59,0,No Failure,10.0,59953.6,0.6733333333333333
0,298.1,308.0,1426,46.0,61,0,No Failure,9.899999999999977,65596.0,0.7419354838709677
0,298.1,308.0,1652,28.5,63,0,No Failure,9.899999999999977,47082.0,0.4453125
0,298.0,308.0,1401,54.7,65,0,No Failure,10.0,76634.7,0.8287878787878789
1,298.0,307.9,1750,26.6,67,0,No Failure,9.899999999999977,46550.0,0.3911764705882353
2,298.0,308.0,1479,50.7,70,0,No Failure,10.0,74985.3,0.7140845070422536
1,298.0,308.0,1620,29.4,75,0,No Failure,10.0,47628.0,0.3868421052631579
0,298.0,308.1,1819,23.4,78,0,No Failure,10.100000000000023,42564.6,0.2962025316455696
1,298.1,308.1,1456,43.7,80,0,No Failure,10.0,63627.200000000004,0.5395061728395062
0,298.1,308.0,1626,36.5,83,0,No Failure,9.899999999999977,59349.0,0.43452380952380953
1,298.1,308.1,1390,49.8,85,0,No Failure,10.0,69222.0,0.5790697674418605
0,298.2,308.2,1469,43.0,88,0,No Failure,10.0,63167.0,0.48314606741573035
0,298.2,308.3,2051,19.2,90,0,No Failure,10.100000000000023,39379.2,0.210989010989011
0,298.2,308.3,1568,36.0,92,0,No Failure,10.100000000000023,56448.0,0.3870967741935484
0,298.2,308.3,1589,33.2,94,0,No Failure,10.100000000000023,52754.8,0.3494736842105263
0,298.2,308.3,1805,31.6,96,0,No Failure,10.100000000000023,57038.0,0.32577319587628867
2,298.2,308.4,1385,42.2,98,0,No Failure,10.199999999999989,58447.00000000001,0.4262626262626263
0,298.1,308.4,1436,46.7,103,0,No Failure,10.299999999999955,67061.2,0.44903846153846155
